id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4951,MYNN,large_airport,Lynden Pindling International Airport,25.0389995575,-77.46620178219999,16,,BS,BS-NP,Nassau,1,MYNN,NAS,,http://www.nas.bs/,http://en.wikipedia.org/wiki/Lynden_Pindling_International_Airport,Nassau International Airport
4956,MZBZ,large_airport,Philip S. W. Goldson International Airport,17.539100646972656,-88.30819702148438,15,,BZ,BZ-BZ,Belize City,1,MZBZ,BZE,,http://www.pgiabelize.com/,http://en.wikipedia.org/wiki/Philip_S._W._Goldson_International_Airport,"Belize International, Ladyville"
1973,CYYC,large_airport,Calgary International Airport,51.113899231,-114.019996643,3557,,CA,CA-AB,Calgary,1,CYYC,YYC,,http://www.calgaryairport.com/,http://en.wikipedia.org/wiki/Calgary_International_Airport,McCall Field
1717,CYEG,large_airport,Edmonton International Airport,53.309700012200004,-113.580001831,2373,,CA,CA-AB,Edmonton,1,CYEG,YEG,CYEG,http://www.edmontonairports.com/,http://en.wikipedia.org/wiki/Edmonton_International_Airport,YEA
1941,CYVR,large_airport,Vancouver International Airport,49.193901062,-123.183998108,14,,CA,CA-BC,Vancouver,1,CYVR,YVR,,http://www.yvr.ca/,http://en.wikipedia.org/wiki/Vancouver_International_Airport,
1979,CYYJ,large_airport,Victoria International Airport,48.646900177,-123.426002502,63,,CA,CA-BC,Victoria,1,CYYJ,YYJ,,http://www.victoriaairport.com/,http://en.wikipedia.org/wiki/Victoria_International_Airport,
1946,CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,783,,CA,CA-MB,Winnipeg,1,CYWG,YWG,YWG,http://www.waa.ca/,http://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,CFB Winnipeg
1986,CYYT,large_airport,St. John's International Airport,47.618598938,-52.7518997192,461,,CA,CA-NL,St. John's,1,CYYT,YYT,,http://www.stjohnsairport.com/,http://en.wikipedia.org/wiki/St._John's_International_Airport,
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,477,,CA,CA-NS,Halifax,1,CYHZ,YHZ,,http://www.hiaa.ca/,http://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport
1840,CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.3224983215,-75.6691970825,374,,CA,CA-ON,Ottawa,1,CYOW,YOW,YOW,http://www.ottawa-airport.ca/,http://en.wikipedia.org/wiki/Ottawa_Macdonald-Cartier_International_Airport,"Uplands, UUP, CUUP"
1990,CYYZ,large_airport,Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,569,,CA,CA-ON,Toronto,1,CYYZ,YYZ,YYZ,http://www.gtaa.com/,http://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,"YTO, Toronto International Airport, Malton"
1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,118,,CA,CA-QC,Montréal,1,CYUL,YUL,YUL,http://www.admtl.com/passager/Home.aspx,http://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport,"YMQ, Dorval Airport"
1864,CYQB,large_airport,Quebec Jean Lesage International Airport,46.791099548300004,-71.39330291750001,244,,CA,CA-QC,Quebec,1,CYQB,YQB,YQB,http://www.aeroportdequebec.com/,http://en.wikipedia.org/wiki/Qu%C3%A9bec/Jean_Lesage_International_Airport,Quebec City
4839,MUHA,large_airport,José Martí International Airport,22.989200592041016,-82.40910339355469,210,,CU,CU-03,Havana,1,MUHA,HAV,,,http://en.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD_International_Airport,Habana
4859,MUVR,large_airport,Juan Gualberto Gomez International Airport,23.034400939941406,-81.435302734375,210,,CU,CU-04,Varadero,1,MUVR,VRA,,,http://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport,
4638,MDSD,large_airport,Las Américas International Airport,18.42970085144043,-69.66889953613281,59,,DO,DO-01,Santo Domingo,1,MDSD,SDQ,,http://www.aerodom.com/app/do/lasamericas.aspx,http://en.wikipedia.org/wiki/Las_Am%C3%A9ricas_International_Airport,Aeropuerto Internacional de Las Américas
4636,MDPC,large_airport,Punta Cana International Airport,18.567399978599997,-68.36340332030001,47,,DO,DO-11,Punta Cana,1,MDPC,PUJ,,,http://en.wikipedia.org/wiki/Punta_Cana_International_Airport,
4680,MKJP,large_airport,Norman Manley International Airport,17.935699462890625,-76.7874984741211,10,,JM,JM-01,Kingston,1,MKJP,KIN,,,http://en.wikipedia.org/wiki/Norman_Manley_International_Airport,
4862,MWCR,large_airport,Owen Roberts International Airport,19.292800903299998,-81.3576965332,8,,KY,KY-U-A,Georgetown,1,MWCR,GCM,,,http://en.wikipedia.org/wiki/Owen_Roberts_International_Airport,"Grand Cayman, George Town"
4757,MMTJ,large_airport,General Abelardo L. Rodríguez International Airport,32.541099548339844,-116.97000122070312,489,,MX,MX-BCN,Tijuana,1,MMTJ,TIJ,,http://aeropuertosgap.com.mx/english/airports/tijuana-airport,http://en.wikipedia.org/wiki/General_Abelardo_L._Rodr%C3%ADguez_International_Airport,
4750,MMSD,large_airport,Los Cabos International Airport,23.15180015563965,-109.72100067138672,374,,MX,MX-BCS,San José del Cabo,1,MMSD,SJD,,http://loscabos.aeropuertosgap.com.mx/index.php?lang=eng,http://en.wikipedia.org/wiki/Los_Cabos_International_Airport,
4731,MMMX,large_airport,Licenciado Benito Juarez International Airport,19.43630027770996,-99.07209777832031,7316,,MX,MX-DIF,Mexico City,1,MMMX,MEX,,,http://en.wikipedia.org/wiki/Mexico_City_International_Airport,
4688,MMAA,large_airport,General Juan N Alvarez International Airport,16.757099151611328,-99.75399780273438,16,,MX,MX-GRO,Acapulco,1,MMAA,ACA,,,http://en.wikipedia.org/wiki/General_Juan_N._%C3%81lvarez_International_Airport,
4710,MMGL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,20.521799087524414,-103.31099700927734,5016,,MX,MX-JAL,Guadalajara,1,MMGL,GDL,,,http://en.wikipedia.org/wiki/Don_Miguel_Hidalgo_y_Costilla_International_Airport,
4745,MMPR,large_airport,Licenciado Gustavo Díaz Ordaz International Airport,20.680099487304688,-105.25399780273438,23,,MX,MX-JAL,Puerto Vallarta,1,MMPR,PVR,,http://vallarta.aeropuertosgap.com.mx/index.php?lang=eng,http://en.wikipedia.org/wiki/Lic._Gustavo_D%C3%ADaz_Ordaz_International_Airport,
4732,MMMY,large_airport,General Mariano Escobedo International Airport,25.7784996033,-100.107002258,1278,,MX,MX-NLE,Monterrey,1,MMMY,MTY,,,http://en.wikipedia.org/wiki/General_Mariano_Escobedo_International_Airport,
