stations,PC1,PC2,country_mean,country_mean_scaled,country_sum,country_sum_scaled,country_change,country_change_scaled,cluster
KEY WEST,-59.289727212782566,-0.4357421208115561,24.874999999999996,0.8606365159128977,596.9999999999999,0.8606365159128977,-7.800000000000001,inf,3
MIAMI,-58.552757868826774,-0.09263063465297375,24.708333333333332,0.8539363484087102,593.0,0.8539363484087104,-7.100000000000001,inf,3
WEST PALM BEACH,-52.89868502640219,0.2730072703541928,23.650000000000002,0.811390284757119,567.6,0.811390284757119,-8.100000000000001,inf,3
JACKSONVILLE,-32.08170850425408,-3.6610643406028847,20.05416666666667,0.6668341708542715,481.30000000000007,0.6668341708542715,-15.599999999999998,inf,3
CHARLESTON,-26.09623839091535,-5.181808118506034,19.045833333333334,0.6262981574539365,457.1,0.6262981574539365,-17.9,inf,1
TAMPA,-47.610918405364586,-2.6359971311859254,22.854166666666668,0.7793969849246232,548.5,0.7793969849246232,-11.099999999999998,inf,3
ATLANTA,-16.270034942415627,-5.265210858062182,17.250000000000004,0.5541038525963151,414.00000000000006,0.5541038525963151,-20.9,inf,1
MONTGOMERY/DANNE,-24.969899348268402,-6.443470009204999,18.925,0.6214405360134004,454.20000000000005,0.6214405360134004,-20.6,inf,1
NEW ORLEANS,-37.68665452796302,-5.798509996058299,21.241666666666664,0.7145728643216079,509.79999999999995,0.714572864321608,-17.1,inf,3
MERIDIAN,-21.307262955883395,-4.798699450923687,18.141666666666666,0.5899497487437186,435.4,0.5899497487437186,-20.6,inf,1
SHREVEPORT,-24.716343851343787,-7.3061684914945655,18.970833333333335,0.6232830820770521,455.3,0.6232830820770521,-21.5,inf,1
BROWNSVILLE,-51.564156716368245,-3.640563391662001,23.662499999999994,0.8118927973199328,567.8999999999999,0.8118927973199328,-11.900000000000002,inf,3
SAN ANTONIO,-40.09596239103501,-9.416625304068846,21.92083333333333,0.7418760469011725,526.0999999999999,0.7418760469011725,-17.9,inf,3
DEL RIO INT,-16.797015675194825,29.94218876761626,15.0,0.4636515912897823,360.0,0.4636515912897823,0.0,inf,0
SAN ANGELO/MATHI,-27.235598001254463,-8.61865640842172,19.483333333333334,0.6438860971524288,467.6,0.643886097152429,-21.200000000000003,inf,1
ABILENE,-23.49373913966009,-8.033175461377933,18.779166666666665,0.6155778894472362,450.69999999999993,0.6155778894472361,-21.700000000000003,inf,1
EL PASO,-25.8117947858586,-8.226933910993399,19.19166666666666,0.6321608040201003,460.59999999999985,0.6321608040201004,-19.4,inf,1
TUCSON INTL,-36.856938511749796,-11.310296421523516,21.5,0.7249581239530989,516.0,0.7249581239530989,-18.8,inf,3
PHOENIX,-48.276203550559664,-19.873102507972842,24.195833333333336,0.8333333333333335,580.7,0.8333333333333335,-22.4,inf,3
SAN DIEGO,-25.203634548848633,13.469935866816005,17.73333333333333,0.5735343383584589,425.5999999999999,0.5735343383584588,-8.499999999999998,inf,0
LOS ANGELES,-23.854466264657606,15.370390849546695,17.354166666666668,0.5582914572864323,416.5,0.5582914572864321,-7.800000000000001,inf,0
