stations,PC1,PC2,country_mean,country_mean_scaled,country_sum,country_sum_scaled,country_change,country_change_scaled,cluster
key west,-86.13077039882364,-10.719973280602579,158.39497018291928,0.0668377244482989,13305.177495365218,0.06683772444829889,-8.158430107526875,-5.965989163776054,0
miami,-80.64114852938877,-7.070241333841551,157.9778821044547,0.0642045090249624,13270.142096774194,0.06420450902496247,-8.508795698924732,-5.872579766648511,0
west palm beach,-75.65844371205063,-7.829361824277509,157.64293271624558,0.06208986240567707,13242.006348164628,0.062089862405677106,-8.54508602150537,-5.862904566694381,0
jacksonville,-48.15885518896485,-8.682660856131685,155.72397630082813,0.0499748538722534,13080.814009269563,0.04997485387225349,-15.1644623655914,-4.098142361608807,6
charleston,-40.131539601696396,-9.352773224528875,155.19071097515757,0.046608172941320275,13036.019721913235,0.046608172941320275,-18.217430107526877,-3.284204340223033,6
tampa,-66.87980533062819,-7.037213410638762,156.94959156558434,0.05771256968065841,13183.765691509085,0.05771256968065848,-12.473838709677418,-4.8154774532007005,0
atlanta,-23.01035303378994,-5.578265249160236,153.97116963292547,0.03890880382105249,12933.57824916574,0.03890880382105256,-20.42582795698925,-2.6954333056216497,6
montgomery/danne,-35.22612819492511,-4.054249029511147,154.89828152974204,0.04476196882841297,13011.455648498331,0.04476196882841306,-19.256763440860215,-3.007112346988505,6
new orleans,-54.125853249369726,-11.120127041863011,156.33340033017288,0.05382234996787418,13132.005627734523,0.05382234996787433,-16.6735376344086,-3.6958145801679914,0
meridian,-32.113373207366585,-7.723946570540245,154.55658012430038,0.042604694484113734,12982.752730441232,0.042604694484113824,-18.87581720430107,-3.108674712610729,6
shreveport,-36.61511139601844,-4.341735628529883,154.98061450994933,0.04528176424939267,13018.371618835745,0.04528176424939279,-20.11475268817204,-2.7783676862655176,6
brownsville,-71.2304257236113,-7.169493268795892,157.1319192180023,0.058863664644137434,13199.081214312193,0.05886366464413742,-13.63012903225807,-4.507204082217699,0
san antonio,-48.99700876577842,4.3602161583318315,155.66068842364533,0.049575296505566094,13075.497827586207,0.049575296505566115,-19.046860215053766,-3.063073703523206,6
del rio int,-44.94065089045739,9.059116875234592,155.32254994526542,0.04744051610193705,13047.094195402296,0.04744051610193719,-19.982698924731185,-2.8135739471949086,6
san angelo/mathi,-27.145843588402556,11.639704489100293,154.21131848879702,0.040424943226200404,12953.75075305895,0.0404249432262005,-22.643505376344084,-2.1041882865579233,6
abilene,-25.441410898225307,7.869030740437375,154.198235283472,0.04034234461015907,12952.651763811647,0.040342344610159085,-22.160806451612903,-2.2328784794885768,6
el paso,-12.796100870341986,31.265643711818658,152.72649148524812,0.031050737707968495,12829.025284760843,0.03105073770796861,-20.984204301075266,-2.5465670957199795,5
tucson intl,-24.5500110032606,36.32926928499485,153.35479535904088,0.03501742852565782,12881.802810159434,0.03501742852565787,-16.883043010752687,-3.639959292492046,5
phoenix,-38.381720649097815,39.72809439390215,154.36598053392657,0.04140137603180621,12966.742364849833,0.04140137603180636,-18.932892473118276,-3.093458131468052,5
san diego,-43.79492577525861,0.6915925224508261,154.4372957165811,0.04185161244128419,12972.732840192812,0.04185161244128417,-7.347408602150537,-6.182211965713959,6
los angeles,-31.03355258857532,8.70737081136226,153.49998293959771,0.03593404589292124,12893.998566926208,0.03593404589292129,-9.889430107526884,-5.504495026230542,6
cape hatteras,-34.726284302598586,-15.924192823234467,154.69073385772555,0.0434516515135588,12994.021644048946,0.04345165151355885,-17.766182795698924,-3.4045093598601044,6
raleigh,-19.828140677358462,-5.37418800496141,153.7325282191853,0.037402181398228214,12913.532370411565,0.037402181398228304,-20.504698924731176,-2.6744058710546708,6
greenville,-19.735386932813732,-1.9247364924268155,153.70121725197313,0.03720450487367693,12910.902249165743,0.037204504873677005,-20.10294623655914,-2.781515351317261,6
asheville,-3.053946847545648,-6.08312512733917,152.4554832574112,0.029339772848895336,12806.260593622541,0.02933977284889539,-18.903075268817208,-3.1014075624229562,3
chattanooga,-19.545386307387506,-4.9497958751463464,153.78083634373291,0.03770716661645724,12917.590252873564,0.037707166616457254,-20.734182795698924,-2.6132242066336047,6
nashville,-13.60507989824099,-4.720051165903587,153.48618276038638,0.03584692078285371,12892.839351872457,0.03584692078285383,-22.61782795698925,-2.11103402803658,6
ar little rock/adam,-24.10744815913456,-7.743774885850283,154.0593549269912,0.039465546841136394,12940.98581386726,0.03946554684113642,-21.61830107526881,-2.377513401943643,6
fort smith,-20.177207374940938,-5.197121904091969,153.68893969489903,0.03712699258234646,12909.87093437152,0.037126992582346606,-22.94974193548387,-2.022543932574607,6
oklahoma city,-15.537484656470228,0.36693929875292153,153.70116989335597,0.03720420588301383,12910.8982710419,0.03720420588301383,-23.37850537634409,-1.908233236820227,6
clayton,10.460353873510268,16.76211713887517,151.45057645620358,0.022995462798853165,12721.8484223211,0.022995462798853176,-21.09322580645161,-2.51750136169481,3
albuquerque,15.46898877339013,27.106973848149106,150.7926096632944,0.0188415001310403,12666.57921171673,0.018841500131040346,-20.566677419354843,-2.657882062895966,4
las vegas,-15.304172880354532,48.51054362914952,152.8444787506401,0.0317956304609121,12838.936215053767,0.03179563046091212,-20.746204301075267,-2.610019207063614,5
fresno,-24.652132912052526,19.318673816575597,153.57982172872863,0.03643809465809805,12900.705025213205,0.036438094658098094,-12.70430107526882,-4.754034916721612,6
richmond,-14.85422797793914,-5.662668274661747,153.46000835143113,0.035681673054816454,12890.640701520215,0.03568167305481652,-20.410827956989248,-2.699432388269358,6
va washington/natio,-9.195070439957492,-7.374903547980631,153.11043202764975,0.03347468173825081,12861.27629032258,0.0334746817382509,-20.444279569892473,-2.6905140039560824,3
columbus,7.308723459908866,-6.7759038950156025,151.96439075604283,0.026239342950135025,12765.008823507598,0.026239342950135112,-23.131096774193555,-1.9741937333371546,3
dayton,11.34227631079482,-9.63368472469658,151.81290628917486,0.025282971250370625,12752.284128290688,0.025282971250370687,-23.962602150537634,-1.7525098185362504,3
evansville,-2.7210218229015646,-8.310542685441307,152.70258806963645,0.03089982751439312,12827.017397849462,0.030899827514393224,-23.998806451612904,-1.7428575523894165,3
saint louis,0.7531911438525846,-8.264982803361619,152.48744250666522,0.029541542193067743,12808.945170559879,0.02954154219306782,-25.233118279569894,-1.4137832181865095,3
in indianapolis/mun,8.480931449072724,-8.734167976393758,151.90727195561206,0.025878733011796648,12760.210844271412,0.02587873301179667,-24.531494623655917,-1.6008399506923143,3
columbia,3.6945193651396147,-9.84045895543126,152.2671301799177,0.02815063737776272,12790.438935113087,0.02815063737776277,-25.12217204301075,-1.4433620961499887,3
dodge city,6.366025413569194,5.03317665041838,152.03575435669254,0.026689885038480958,12771.003365962173,0.026689885038481027,-22.637161290322585,-2.1058796548461998,3
concordia,10.367378560139944,-5.510265289259073,151.84867405141517,0.025508785000636847,12755.288620318875,0.02550878500063698,-25.83316129032258,-1.2538084453745388,3
co grand junction/w,27.704257410408946,24.596624412315023,150.08160890407325,0.01435271643797186,12606.855147942153,0.01435271643797193,-23.577322580645163,-1.8552274747011441,4
sacramento,-19.46364015964203,12.637820638738658,153.39299003301733,0.03525856417492963,12885.011162773455,0.03525856417492967,-9.315440860215052,-5.657523722156926,6
ely,44.53821875316455,29.194414084304444,148.92306315217965,0.007038432716994642,12509.53730478309,0.007038432716994711,-18.818720430107525,-3.12389702720523,4
reno,18.230897592717763,25.921878471843144,150.7865062679874,0.018802967371445982,12666.066526510942,0.01880296737144612,-16.02656989247312,-3.8682997448613943,4
san francisco,-19.473693787095826,-2.9713101975356624,153.3766223449335,0.03515522952948656,12883.636276974414,0.03515522952948655,-4.85517204301075,-6.846655964223262,2
new york/la guardia,0.8807603487576965,-5.199441954712406,152.29878851280964,0.02835050693710148,12793.09823507601,0.028350506937101554,-20.202763440860213,-2.7549035346730513,3
providence wso ap,6.926695083224176,-15.103447491999475,151.6780403755495,0.024431517991030292,12740.955391546158,0.02443151799103038,-18.65332258064516,-3.167993005188775,3
boston,11.031235857409827,-10.509333350761704,151.45507566167,0.023023867775736173,12722.22635558028,0.023023867775736194,-19.384440860215058,-2.973072843505432,3
syracuse/hanc,20.361695332523876,-10.889933261830201,150.81137254356685,0.01895995641946145,12668.155293659616,0.0189599564194616,-21.73068817204301,-2.3475503827079103,3
pittsburgh,12.28217567511502,-9.4198704303665,151.55585427812215,0.023660116618333664,12730.69175936226,0.023660116618333664,-21.33387096774193,-2.4533440357767415,3
buffalo,20.41670318993901,-13.595133665344889,150.91659839415928,0.019624282126716644,12676.994265109379,0.019624282126716654,-20.505010752688175,-2.6743227360032105,3
peoria,15.627903349321752,-10.228389927458629,151.4002208671011,0.022677551257569196,12717.618552836491,0.02267755125756919,-27.315301075268824,-0.8586618123441208,3
in south bend/st jo,20.938060481499576,-10.151421146425724,150.93937233169132,0.019768061550430267,12678.90727586207,0.019768061550430253,-24.5024623655914,-1.6085801106556208,3
des moines,23.907666582555503,-10.72107473403287,150.8754628864523,0.019364580018376563,12673.538882461995,0.019364580018376685,-29.027731182795705,-0.40211851044921504,3
ne norfolk/karl ste,26.890989064754464,-6.177937738050088,150.71875495259283,0.018375230838421488,12660.375416017798,0.018375230838421543,-27.553494623655915,-0.7951580999340657,1
north platte,24.367881845983145,0.6623081917485908,150.72920231915535,0.018441188529820726,12661.252994809049,0.018441188529820747,-23.528451612903226,-1.8682567439727096,3
wy casper/natrona c,41.6129418485926,11.677278582228844,149.36550530571884,0.009831716828404521,12546.702445680383,0.0098317168284046,-18.59367741935484,-3.1838947338244994,4
salt lake city,21.000683457348764,16.86455212747594,150.69751627469674,0.018241144018167246,12658.591367074527,0.018241144018167357,-22.378354838709683,-2.174878880830203,4
lander,44.797017041946056,14.902752948443672,148.8377651579356,0.006499918178650693,12502.37227326659,0.0064999181786507786,-23.012451612903224,-2.005825187053867,4
id pocatello/muni,35.977516905327235,10.8183124718698,149.9964505932518,0.013815083767419897,12599.70184983315,0.013815083767419882,-19.452892473118283,-2.9548232663475043,4
winnemucca,31.079399187263288,29.131246607370002,150.01350766283525,0.013922770706997246,12601.134643678162,0.013922770706997394,-15.694010752688172,-3.9569618438781076,4
eureka,-3.817466903331577,-16.64946771402145,151.9409203082791,0.026091166226236293,12763.037305895443,0.026091166226236306,-3.7508602150537635,-7.141071582146032,2
medford,2.5274984771773465,7.654778348464315,152.0043337394283,0.026491516256770525,12768.364034111975,0.02649151625677051,-11.744161290322582,-5.010013473611789,2
nh mount washington,62.40457973052305,-20.678183186335573,148.19904590197217,0.002467471597639877,12448.719855765661,0.002467471597639852,-24.080139784946237,-1.7211736375885107,1
burlington,30.261167798462065,-10.25004116030678,150.08520366986238,0.014375411387091645,12607.15710826844,0.01437541138709174,-24.177021505376345,-1.6953444371183675,1
madison,31.652027103624288,-12.755567072438117,150.07369187545243,0.014302733609529257,12606.190117538004,0.01430273360952937,-27.733387096774194,-0.7471977754206925,1
huron,37.729752828958915,-5.9172260513288615,149.93003746225963,0.013395795636518527,12594.12314682981,0.013395795636518657,-28.469419354838706,-0.5509675199954149,1
minneapolis/st. paul,38.19488937903393,-7.916456263904017,149.87780950173914,0.013066063193245976,12589.735998146087,0.013066063193245984,-30.420408602150538,-0.03082303700943229,1
aberdeen/reg,46.224783905939006,-6.773163370166582,149.38243362113107,0.009938590900180162,12548.12442417501,0.009938590900180231,-30.536021505376347,-0.0,1
rapid city,34.91737589315955,1.4829193492758173,149.91060332909586,0.013273101505882139,12592.490679644052,0.013273101505882148,-22.85455913978495,-2.0479201903506,1
sheridan,38.93780304285741,6.6000163930964275,149.4659305092077,0.010465734457707357,12555.138162773448,0.010465734457707461,-21.18798924731183,-2.4922369062293956,4
boise,17.45455616363237,14.634185085129088,151.04272169253312,0.020420540355296692,12687.588622172783,0.02042054035529684,-16.810537634408597,-3.6592896253189253,4
pendleton,15.794975356000835,8.750125550417481,151.0817151376309,0.020666718911678608,12690.864071560996,0.02066671891167867,-13.914935483870968,-4.431273112977668,4
portland,-2.699149717262619,-4.01929969076998,152.4954736214842,0.029592245285531484,12809.619784204673,0.02959224528553161,-9.908516129032254,-5.499406587736148,2
caribou,49.728361519402746,-13.611946395155465,148.55516927538537,0.004715796610750681,12478.634219132371,0.0047157966107507585,-27.46222580645161,-0.8194908694779708,1
marquette,44.676788069152174,-14.676036065726489,148.81298128431942,0.006343449361569245,12500.290427882832,0.006343449361569348,-20.47918279569892,-2.6812086116446423,1
duluth,51.699512173193185,-13.447490536188987,148.70564059713612,0.005665771989242741,12491.273810159435,0.005665771989242844,-26.414397849462368,-1.0988475761832412,1
international falls,65.51026335379484,-11.785995400081811,147.8082108118368,0.0,12415.88970819429,0.0,-29.4968494623656,-0.27704899234584046,1
bismarck,47.348889605633744,-1.1308274382170063,149.27046327047688,0.009231684926304332,12538.718914720057,0.009231684926304315,-27.628860215053763,-0.7750652180145066,1
helena,37.04946181941354,9.621101174741575,149.95046276727228,0.013524747363893856,12595.838872450871,0.013524747363893875,-21.751129032258063,-2.3421007367485602,4
spokane,27.909938231935943,3.4552444633973147,150.23213057718453,0.015303009701308809,12619.498968483502,0.015303009701308939,-16.473913978494625,-3.749035346730499,4
olympia,6.473173958755811,-7.602053182633582,151.59302158041564,0.023894766129303368,12733.813812754914,0.023894766129303437,-8.645623655913978,-5.8361006794140415,2
quillayute,5.0611239572421995,-20.71571116410091,151.3916035100729,0.02262314702353175,12716.894694846125,0.022623147023531864,-7.01504301075269,-6.270822463664249,2
blue hill,15.12796462793583,-9.752658530901721,151.21931516058407,0.021535433510344596,12702.422473489063,0.021535433510344724,-20.121,-2.77670211851045,3
